1,0.674150,0.678432,0.581091,0.052350,0.077653
2,0.719163,0.722963,0.656484,0.038572,0.053634
3,0.735131,0.738655,0.674885,0.036731,0.049966
4,0.704859,0.703511,0.641579,0.041382,0.058710
5,0.686746,0.686844,0.623861,0.042607,0.062042
6,0.738288,0.738782,0.665011,0.044705,0.060552
7,0.736715,0.732454,0.665450,0.042667,0.057916
8,0.699129,0.694348,0.630631,0.046069,0.065895
9,0.735651,0.736720,0.667683,0.042608,0.057919
10,0.759859,0.762161,0.695231,0.040734,0.053608
11,0.750877,0.748890,0.685672,0.040625,0.054104
12,0.771004,0.773112,0.706159,0.041139,0.053358
13,0.786552,0.784663,0.730466,0.034085,0.043335
14,0.810361,0.807860,0.762055,0.031785,0.039223
15,0.816168,0.813870,0.761731,0.034119,0.041804
16,0.843969,0.845136,0.781480,0.034702,0.041118
17,0.847929,0.849776,0.791432,0.032454,0.038274
18,0.845609,0.844740,0.791645,0.031874,0.037694
19,0.844728,0.846490,0.788616,0.033452,0.039601
20,0.851499,0.854694,0.795691,0.032702,0.038405
21,0.859193,0.858524,0.806879,0.031615,0.036796
22,0.865807,0.867094,0.820220,0.027243,0.031465
23,0.866939,0.865813,0.818946,0.028202,0.032530
24,0.861564,0.864264,0.817203,0.026795,0.031100
25,0.862519,0.860759,0.818560,0.028619,0.033181
26,0.871188,0.870576,0.831986,0.024864,0.028540
27,0.874052,0.875419,0.830546,0.025263,0.028903
28,0.877893,0.877579,0.835734,0.024655,0.028085
29,0.876395,0.876519,0.837239,0.024391,0.027831
30,0.880551,0.880854,0.843444,0.021606,0.024537
31,0.894655,0.895885,0.852826,0.020543,0.022962
32,0.894662,0.896101,0.856105,0.021756,0.024317
33,0.896580,0.898804,0.861053,0.021974,0.024508
34,0.897149,0.896730,0.862348,0.019849,0.022124
35,0.902942,0.905112,0.867826,0.019991,0.022140
36,0.902246,0.904055,0.869903,0.017992,0.019941
37,0.904276,0.906768,0.866430,0.021147,0.023386
38,0.900520,0.900533,0.866251,0.019738,0.021918
39,0.899234,0.900206,0.867453,0.019698,0.021905
40,0.900041,0.901101,0.867546,0.020449,0.022720
41,0.899596,0.901170,0.868126,0.020001,0.022233
42,0.900761,0.902026,0.869680,0.018647,0.020701
43,0.900292,0.900599,0.866111,0.018707,0.020779
44,0.901787,0.902139,0.871428,0.017491,0.019396
45,0.899017,0.898908,0.867923,0.019959,0.022201
46,0.902311,0.902867,0.872476,0.017732,0.019652
47,0.901870,0.902384,0.870413,0.018730,0.020768
48,0.902344,0.904161,0.869266,0.017338,0.019215
49,0.904636,0.905781,0.876249,0.017884,0.019769
50,0.901131,0.902561,0.872109,0.018582,0.020621
