1,0.776303,0.783830,0.669097,0.064297
2,0.885344,0.888552,0.834758,0.029859
3,0.903503,0.904958,0.857939,0.024348
4,0.931056,0.932134,0.901461,0.016439
5,0.937287,0.941473,0.912036,0.014039
6,0.916416,0.920734,0.890641,0.013247
7,0.923130,0.924755,0.903365,0.011502
8,0.912201,0.913457,0.891312,0.013058
9,0.913961,0.915367,0.893585,0.012259
10,0.913667,0.914979,0.892961,0.011090
11,0.916092,0.917743,0.893212,0.010888
12,0.896944,0.897829,0.877938,0.010975
13,0.896437,0.896169,0.874924,0.013161
14,0.884476,0.885346,0.863140,0.012188
15,0.894540,0.896542,0.869904,0.013945
16,0.890264,0.892100,0.862070,0.013770
17,0.893492,0.895287,0.871523,0.012551
18,0.901640,0.902319,0.877541,0.013088
19,0.902706,0.903222,0.879587,0.012348
20,0.909241,0.910863,0.888953,0.012193
21,0.912669,0.914095,0.893000,0.011163
22,0.916525,0.916372,0.899591,0.010137
23,0.917677,0.918208,0.897303,0.011960
24,0.919756,0.919657,0.901149,0.010086
25,0.921122,0.922580,0.902727,0.010538
26,0.927275,0.927694,0.908345,0.010747
27,0.935276,0.936361,0.917306,0.011182
28,0.928236,0.928165,0.907525,0.012498
29,0.931014,0.931188,0.909959,0.012699
30,0.931042,0.931385,0.909700,0.012525
31,0.929627,0.931231,0.906949,0.012622
32,0.934256,0.934891,0.914250,0.010741
33,0.938768,0.938623,0.918994,0.011751
34,0.940406,0.940867,0.919058,0.011534
35,0.940871,0.941402,0.919930,0.011584
36,0.942832,0.944160,0.921446,0.012135
37,0.943081,0.943178,0.925119,0.012536
38,0.945872,0.945414,0.925680,0.012434
39,0.948064,0.948116,0.930164,0.010570
40,0.948229,0.947742,0.927446,0.012346
41,0.948592,0.948409,0.929601,0.011462
42,0.949959,0.950247,0.932363,0.010992
43,0.953499,0.955269,0.930911,0.012400
44,0.949165,0.949643,0.929315,0.011589
45,0.944232,0.944432,0.922382,0.011096
46,0.943672,0.945564,0.922903,0.011853
47,0.945398,0.946778,0.928656,0.010783
48,0.946236,0.946370,0.928004,0.010636
49,0.948730,0.948489,0.931013,0.010926
50,0.947704,0.947989,0.930468,0.011073
