index,Sp_tot,Sp_SDC,Perc_inv
1,NA,NA,0.767396
2,0.479128,0.776388,0.758483
3,0.739768,0.844159,0.750996
4,0.863232,0.786334,0.782000
5,0.889539,0.999883,0.758483
6,0.935767,0.920285,0.728543
7,0.954469,0.999947,0.800000
8,0.960604,0.963788,0.744511
9,0.968699,0.935430,0.750499
10,0.973211,0.970324,0.758000
11,0.977986,0.922346,0.753479
12,0.981468,0.975839,0.730000
13,0.985507,0.999998,0.736000
14,0.988571,0.999930,0.744000
15,0.992222,0.935739,0.762475
16,0.990513,0.960449,0.714000
17,0.991343,0.946686,0.752988
18,0.993170,0.999889,0.742000
19,0.993427,0.967086,0.714000
20,0.995449,0.984063,0.794411
21,0.994028,0.999993,0.721116
22,0.995364,0.984495,0.718563
23,0.996265,0.985007,0.736000
24,0.996121,0.971713,0.762000
25,0.995107,0.960479,0.730000
26,0.997085,0.987143,0.756972
27,0.996804,0.999683,0.756487
28,0.997233,0.999836,0.732000
29,0.996975,0.999997,0.746000
30,0.997425,0.975952,0.754491
31,0.997195,0.999999,0.752495
32,0.997724,0.988320,0.780439
33,0.998287,1.000000,0.798403
34,0.998186,0.988535,0.762000
35,0.998457,0.988577,0.766467
36,0.997809,0.999978,0.724551
37,0.998534,0.988988,0.764000
38,0.998407,0.989501,0.744000
39,0.998459,0.989675,0.752495
40,0.998832,0.999814,0.730000
41,0.998801,1.000000,0.778443
42,0.998449,0.999973,0.708000
43,0.997959,0.989932,0.734531
44,0.998882,0.990079,0.764000
45,0.998836,1.000000,0.768000
46,0.998817,0.990249,0.736000
47,0.998928,0.999973,0.752495
48,0.998740,0.990393,0.718000
49,0.998632,0.999800,0.736527
50,0.999077,0.981480,0.748000
51,0.999149,0.999997,0.736000
52,0.998782,0.973394,0.694000
53,0.998805,0.999998,0.730000
54,0.999189,0.982723,0.764471
55,0.998878,0.991292,0.736527
56,0.999417,0.983502,0.782435
57,0.999351,0.999998,0.758000
58,0.999198,0.999722,0.758483
59,0.999120,0.999935,0.748000
