index,Sp_tot,Sp_SDC,Perc_inv
1,NA,NA,0.760956
2,0.446857,0.892795,0.746000
3,0.706752,0.740322,0.700000
4,0.870977,0.999778,0.778000
5,0.879664,1.000000,0.720000
6,0.913465,0.999986,0.738000
7,0.949274,0.948438,0.762475
8,0.966762,0.953407,0.758000
9,0.972500,0.886878,0.730000
10,0.975079,0.932413,0.723108
11,0.978810,0.970149,0.768463
12,0.983503,0.971700,0.728543
13,0.987171,0.973099,0.770459
14,0.989441,0.999931,0.720559
15,0.988995,0.974723,0.750499
16,0.993540,1.000000,0.786000
17,0.992201,0.973247,0.742000
18,0.993805,0.977111,0.760479
19,0.993829,0.978122,0.752000
20,0.994829,0.979027,0.776000
21,0.994480,0.999922,0.748000
22,0.995450,0.999999,0.750499
23,0.996560,0.999927,0.786000
24,0.995426,0.999996,0.754491
25,0.996924,0.980141,0.774451
26,0.997115,0.980994,0.756000
27,0.997332,0.981747,0.740000
28,0.997206,0.982504,0.770916
29,0.997238,0.967251,0.755467
30,0.997497,0.999996,0.736527
31,0.997652,0.999999,0.776892
32,0.997746,0.984151,0.737575
33,0.998051,0.984590,0.776000
34,0.998085,0.999984,0.720000
35,0.998160,0.984989,0.768000
36,0.997996,0.999998,0.756000
37,0.998210,0.999999,0.732000
38,0.998512,0.985383,0.778000
39,0.998359,0.985739,0.737052
40,0.998611,0.999990,0.776000
41,0.998661,1.000000,0.776447
42,0.998776,0.986085,0.758000
43,0.998213,0.986404,0.718000
44,0.998754,1.000000,0.760479
45,0.998970,1.000000,0.738000
46,0.998884,1.000000,0.752495
47,0.998794,0.986824,0.752495
48,0.999022,1.000000,0.766467
49,0.998948,1.000000,0.743028
50,0.999107,0.999883,0.762475
51,0.998985,0.999892,0.726547
52,0.999236,0.999899,0.790419
53,0.998766,1.000000,0.705179
54,0.999235,0.987431,0.746000
55,0.999285,0.999997,0.766467
56,0.999315,0.987698,0.740000
57,0.999043,0.999981,0.736000
58,0.999212,1.000000,0.743028
59,0.999174,0.999881,0.754000
